"id";"title";"user_id";"location";"date_posted";"description";"skills";"min_salary";"max_salary";"salary_negotiable";"payment_period";"payment_currency";"hiring_multiple_candidates";"created_at";"updated_at"
"11";"Site Reliability Engineer";"9";"Seattle, Washington";"2025-06-23";"<h2>About This Role</h2>
<p>We are seeking a Site Reliability Engineer to focus on availability, latency, performance, and capacity of our systems. You will apply software engineering principles to our infrastructure and operations problems.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Design, build, and maintain scalable and reliable infrastructure</li>
  <li>Automate operations and processes using software engineering practices</li>
  <li>Implement monitoring, alerting, and logging systems</li>
  <li>Respond to and resolve production incidents</li>
  <li>Collaborate with development teams to improve system reliability</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>4+ years of experience in software engineering or systems administration</li>
  <li>Strong programming skills in one or more languages</li>
  <li>Experience with cloud infrastructure and containerization</li>
  <li>Knowledge of monitoring systems and observability practices</li>
  <li>Understanding of network protocols and security</li>
</ul>";"[""Python"",""Kubernetes"",""Prometheus"",""AWS"",""Incident Response""]";"90000";"140000";"0";"yearly";"USD";"1";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"12";"Data Scientist";"9";"Seattle, Washington";"2025-06-29";"<h2>About This Role</h2>
<p>We are looking for a Data Scientist to analyze complex data sets and extract meaningful insights. You will help us make data-driven decisions and develop predictive models.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Analyze large data sets to identify patterns and trends</li>
  <li>Develop predictive models and machine learning algorithms</li>
  <li>Create data visualizations and reports</li>
  <li>Collaborate with product and engineering teams</li>
  <li>Present findings to stakeholders</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>3+ years of experience in data science or related field</li>
  <li>Proficiency in Python, R, or similar languages</li>
  <li>Experience with data visualization tools</li>
  <li>Knowledge of machine learning techniques</li>
  <li>Strong mathematical and statistical skills</li>
</ul>";"[""Python"",""Machine Learning"",""Pandas"",""Data Visualization"",""R Programming""]";"90000";"140000";"0";"yearly";"USD";"0";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"13";"Machine Learning Engineer";"10";"Los Gatos, California";"2025-06-23";"<h2>About This Role</h2>
<p>We are seeking a Machine Learning Engineer to design and implement machine learning systems. You will collaborate with data scientists to deploy models into production.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Design and implement machine learning systems</li>
  <li>Research and implement appropriate ML algorithms</li>
  <li>Develop systems to efficiently process large amounts of data</li>
  <li>Optimize existing machine learning models</li>
  <li>Collaborate with data scientists and engineers</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>4+ years of experience in machine learning or related field</li>
  <li>Strong programming skills in Python</li>
  <li>Experience with machine learning frameworks (TensorFlow, PyTorch)</li>
  <li>Knowledge of data structures, data modeling, and software architecture</li>
  <li>Understanding of distributed computing</li>
</ul>";"[""Python"",""TensorFlow"",""PyTorch"",""Machine Learning"",""Big Data""]";"100000";"150000";"0";"yearly";"USD";"0";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"14";"Product Manager";"10";"Los Gatos, California";"2025-06-23";"<h2>About This Role</h2>
<p>We are looking for a Product Manager to help us define and deliver innovative products. You will work with cross-functional teams to ensure we're building the right product for our users.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Define product vision, strategy, and roadmap</li>
  <li>Gather and prioritize product requirements</li>
  <li>Work closely with engineering, design, and marketing teams</li>
  <li>Define success metrics and monitor product performance</li>
  <li>Conduct market research and competitive analysis</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>3+ years of experience in product management</li>
  <li>Strong problem-solving and analytical skills</li>
  <li>Excellent communication and leadership abilities</li>
  <li>Understanding of technology and user experience design</li>
  <li>Experience with agile development methodologies</li>
</ul>";"[""Product Strategy"",""Agile"",""User Stories"",""Market Research"",""Analytics""]";"90000";"140000";"1";"yearly";"USD";"0";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"15";"Mobile App Developer";"11";"Mountain View, California";"2025-06-20";"<h2>About This Role</h2>
<p>Join our mobile team as a Mobile App Developer! You will be responsible for creating high-quality mobile applications for iOS and Android platforms.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Develop native and cross-platform mobile applications</li>
  <li>Collaborate with designers to implement intuitive user interfaces</li>
  <li>Integrate mobile apps with backend services and APIs</li>
  <li>Optimize applications for performance and user experience</li>
  <li>Test and debug mobile applications across different devices</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>3+ years of experience in mobile app development</li>
  <li>Proficiency in Swift, Kotlin, or React Native</li>
  <li>Experience with mobile app architecture and design patterns</li>
  <li>Knowledge of RESTful APIs and third-party integrations</li>
  <li>Understanding of mobile app store guidelines and deployment</li>
</ul>";"[""Swift"",""Kotlin"",""React Native"",""iOS Development"",""Android SDK""]";"80000";"125000";"0";"yearly";"USD";"1";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"16";"Cybersecurity Analyst";"11";"Mountain View, California";"2025-06-26";"<h2>About This Role</h2>
<p>We are seeking a Cybersecurity Analyst to protect our organization's digital assets. You will monitor, detect, and respond to security threats and vulnerabilities.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Monitor security events and analyze potential threats</li>
  <li>Conduct vulnerability assessments and penetration testing</li>
  <li>Implement and maintain security tools and policies</li>
  <li>Respond to security incidents and breaches</li>
  <li>Create security reports and recommendations</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>3+ years of experience in cybersecurity</li>
  <li>Knowledge of security frameworks and compliance standards</li>
  <li>Experience with security tools and technologies</li>
  <li>Understanding of network security and cryptography</li>
  <li>Strong analytical and problem-solving skills</li>
</ul>";"[""Network Security"",""Penetration Testing"",""Cryptography"",""Security Auditing"",""Incident Response""]";"75000";"115000";"0";"yearly";"USD";"0";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"17";"QA Engineer";"12";"Austin, Texas";"2025-06-29";"<h2>About This Role</h2>
<p>We are looking for a Quality Assurance Engineer to ensure the quality and reliability of our software products through comprehensive testing strategies.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Design and execute test plans and test cases</li>
  <li>Perform manual and automated testing</li>
  <li>Identify, document, and track software defects</li>
  <li>Collaborate with development teams to resolve issues</li>
  <li>Continuously improve testing processes and methodologies</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>3+ years of experience in software testing</li>
  <li>Knowledge of testing methodologies and tools</li>
  <li>Experience with automated testing frameworks</li>
  <li>Understanding of SDLC and agile methodologies</li>
  <li>Strong attention to detail and analytical skills</li>
</ul>";"[""Git"",""JavaScript"",""Python"",""Agile"",""Test Automation""]";"65000";"95000";"0";"yearly";"USD";"0";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"18";"Full Stack Developer";"12";"Austin, Texas";"2025-06-30";"<h2>About This Role</h2>
<p>We are seeking a versatile Full Stack Developer to work on both frontend and backend technologies. You will be involved in the complete software development lifecycle.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Develop web applications using modern frontend and backend technologies</li>
  <li>Design and implement RESTful APIs</li>
  <li>Work with databases and optimize queries</li>
  <li>Collaborate with cross-functional teams</li>
  <li>Participate in code reviews and maintain code quality</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>4+ years of experience in full stack development</li>
  <li>Proficiency in JavaScript, React, and Node.js</li>
  <li>Experience with database technologies (SQL and NoSQL)</li>
  <li>Knowledge of version control systems and deployment processes</li>
  <li>Understanding of web security and performance optimization</li>
</ul>";"[""JavaScript"",""React"",""Node.js"",""MongoDB"",""Express.js""]";"85000";"130000";"0";"yearly";"USD";"1";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"19";"Cloud Solutions Architect";"13";"San Jose, California";"2025-06-04";"<h2>About This Role</h2>
<p>We are looking for a Cloud Solutions Architect to design and implement scalable cloud infrastructure solutions. You will lead cloud adoption initiatives and ensure best practices.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Design cloud architecture solutions for business requirements</li>
  <li>Lead cloud migration and modernization projects</li>
  <li>Establish cloud governance and security standards</li>
  <li>Optimize cloud costs and performance</li>
  <li>Mentor teams on cloud technologies and best practices</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>5+ years of experience in cloud architecture</li>
  <li>Expertise in AWS, Azure, or Google Cloud Platform</li>
  <li>Knowledge of infrastructure as code and automation tools</li>
  <li>Experience with containerization and microservices</li>
  <li>Strong leadership and communication skills</li>
</ul>";"[""AWS"",""Azure"",""Google Cloud"",""Terraform"",""Kubernetes""]";"120000";"180000";"0";"yearly";"USD";"0";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"20";"Technical Writer";"13";"San Jose, California";"2025-06-30";"<h2>About This Role</h2>
<p>We are seeking a Technical Writer to create clear, comprehensive documentation for our software products and APIs. You will work closely with development teams to translate complex technical concepts into user-friendly content.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Create and maintain technical documentation, user guides, and API documentation</li>
  <li>Collaborate with developers and product managers to understand features</li>
  <li>Develop tutorials, code examples, and best practice guides</li>
  <li>Review and edit content for clarity, accuracy, and consistency</li>
  <li>Maintain documentation websites and knowledge bases</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>2+ years of experience in technical writing</li>
  <li>Strong writing and communication skills</li>
  <li>Basic understanding of software development concepts</li>
  <li>Experience with documentation tools and platforms</li>
  <li>Ability to learn new technologies quickly</li>
</ul>";"[""Technical Writing"",""Git"",""Markdown"",""API Documentation"",""Content Management""]";"60000";"85000";"0";"yearly";"USD";"1";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
